date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,raw_target_weight_on,raw_target_weight_pn,raw_signal,signal_decision_date,signal_execution_lag,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,GGBR,8.651947021484375,10.875783920288086,0.5,0.5,0.5,0.5,0.5,0.5,0.05779046020027724,0.045973697497546054,8.651947021484375,10.875783920288086,0.5,0.5,0.0,1.0,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05779046020027724,0.045973697497546054,8.651947021484375,10.875783920288086,0.0,-0.22875427419700545,-0.25193536548626,0.02448653936173294,0.946687114369517,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,hold_previous_allocation,2019-12-30,1,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,GGBR,0.0,0.0,0.0
2020-01-03,GGBR,8.661763191223145,10.697664260864258,0.5,0.5,0.5044116738955513,0.4955883261044487,0.5044116738955513,0.4955883261044487,0.05779046020027724,0.045973697497546054,8.651947021484375,10.875783920288086,0.5005672809666075,0.491811180659283,0.0,0.9923784616258905,-0.007621538374109504,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0005672809666075264,-0.008188819340717003,0.05779046020027724,0.045973697497546054,8.651947021484375,10.875783920288086,-0.007621538374109504,-0.2111071206530335,-0.2516099910428978,0.02424550121889213,1.6705313709210672,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,overweight_pn,2020-01-02,1,0.9923784616258905,-0.007621538374109504,-0.007621538374109504,0.5044116738955513,0.49558832610444875,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,GGBR,0.0,-0.00031802070988584674,-0.00031802070988584674
2020-01-06,GGBR,8.539073944091797,10.671470642089844,0.0,1.0,0.5014582341698881,0.4985417658301119,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,0.9830980080088747,-5.551115123125783e-17,0.9830980080088747,-0.009351728172144025,overweight_pn,True,sell_on_buy_pn,0.4934770129132614,0.4924910448554927,0.000985968057768754,-0.006522987086738596,0.0,0.0,0.0,-0.009393036846618007,0.05779046020027724,0.045973697497546054,8.651947021484375,10.875783920288086,-0.016901991991125298,-0.22292132097946205,-0.2514070743584996,0.024369825797324097,1.1688944195147029,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-03,1,0.9840839760666434,-0.008358187808366502,-0.01591602393335656,0.5014582341698881,0.49854176583011195,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,GGBR,-0.000985968057768738,-0.0026070007199253675,-0.0016210326621566296
2020-01-07,GGBR,8.637227058410645,10.839111328125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,0.998541729875323,-5.551115123125783e-17,0.998541729875323,0.015709239303340006,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006050685019830227,0.0,0.09212394813994916,0.0,10.773431500653446,-0.0014582701246770302,-0.22707942286123917,-0.25121917913673186,0.024406312257937282,0.9890783998980469,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-06,1,0.9974633519012814,0.013595766377697771,-0.0025366480987185636,0.5004187127360631,0.49958128726393686,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,GGBR,0.0010783779740415333,0.014658383750994486,0.013580005776952953
2020-01-08,GGBR,8.681392669677734,10.881021499633787,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,1.002402660341935,-5.551115123125783e-17,1.002402660341935,0.003866568968623918,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009911615486442121,0.0,0.09212394813994916,0.0,10.773431500653446,0.0024026603419349257,-0.2258381632369848,-0.2510878479964052,0.024446939416339745,1.032836230720322,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-07,1,1.0019424684484484,0.004490507384185216,0.0019424684484483645,0.5007290272233861,0.4992709727766139,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,GGBR,0.0004601918934865612,0.022019267832678935,0.021559075939192374
2020-01-09,GGBR,8.617594718933105,10.82339572906494,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,0.9970939468425257,-5.551115123125783e-17,0.9970939468425257,-0.005295989036579685,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004602901987032992,0.0,0.09212394813994916,0.0,10.773431500653446,-0.0029060531574742754,-0.22790405154593474,-0.25090905658760676,0.024466261660190187,0.9402746263890482,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-08,1,0.9956062857708865,-0.0063238987038584105,-0.004393714229113499,0.5002125556499635,0.4997874443500365,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,GGBR,0.0014876610716392236,0.019240641283924664,0.01775298021228544
2020-01-10,GGBR,8.71574592590332,10.970083236694336,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,1.0106073791881547,-5.551115123125783e-17,1.0106073791881547,0.013552817553874164,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018116334332661896,0.0,0.09212394813994916,0.0,10.773431500653446,0.010607379188154686,-0.23004059557609846,-0.25067743520150804,0.02440635535561496,0.8455518787921703,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-09,1,1.0080222562933305,0.012470763493453108,0.008022256293330532,0.49967841969956805,0.5003215803004321,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,GGBR,0.0025851228948241545,0.0364986023165228,0.033913479421698645
2020-01-13,GGBR,9.12797737121582,11.44157600402832,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,1.0540431544343918,-5.551115123125783e-17,1.0540431544343918,0.04297987145228466,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061552109578898985,0.0,0.09212394813994916,0.0,10.773431500653446,0.05404315443439178,-0.22590960554817308,-0.2504249597831464,0.024288697885797718,1.0093317620500406,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-10,1,1.0535215670846587,0.04513720853608616,0.05352156708465872,0.5007111666826366,0.49928883331736346,0.9894748382852758,0.015774482048085403,-0.010525161714724174,GGBR,0.0005215873497330659,0.06456831614911596,0.06404672879938289
2020-01-14,GGBR,9.029828071594238,11.22154712677002,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,1.0337732255565568,-5.551115123125783e-17,1.0337732255565568,-0.01923064420328402,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04128218070106405,0.0,0.09212394813994916,0.0,10.773431500653446,0.03377322555655682,-0.2173024531179646,-0.25017460925023094,0.024214552742664222,1.3575372001130577,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,hold_previous_allocation,2020-01-13,1,1.0377339328473951,-0.014985582384375529,0.037733932847395124,0.5028629239818376,0.49713707601816226,0.9920639605981126,0.002616663115277973,-0.007936039401887363,GGBR,-0.003960707290838306,0.04170926495844418,0.04566997224928249
2020-01-15,GGBR,9.054366111755373,11.05390453338623,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09212394813994916,0.0,10.773431500653446,0.0,1.018329327977622,-5.551115123125783e-17,1.018329327977622,-0.01493934762202831,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02583828312212928,0.0,0.09212394813994916,0.0,10.773431500653446,0.01832932797762199,-0.19953663232613827,-0.24986585877267967,0.024135248949406815,2.085299660759387,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,overweight_pn,2020-01-14,1,1.0314448476047895,-0.006060402424491684,0.031444847604789494,0.5073038908820355,0.49269610911796435,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,GGBR,-0.013115519627167505,0.03653752039916813,0.04965304002633564
