date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,OIBR,86.0,124.0,1.0,0.0,0.5,0.5,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,0.999000999000999,0.0,-5.551115123125783e-17,0.9990009990009989,0.0,hold_previous_allocation,True,sell_pn_buy_on,0.5,0.49900099900099903,0.000999000999000999,-0.0005000000000000004,0.0,0.0,-0.0004990009990010135,0.0,0.005813953488372093,0.004032258064516129,86.0,124.0,-0.0009990009990010762,-0.36593426935152973,-0.15983697791082999,0.15600707604340325,-1.3210765605488353,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,OIBR,-0.0009990009990010762,-0.0009990009990010762,0.0
2020-01-03,OIBR,86.0,124.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,0.999000999000999,0.0,-5.551115123125783e-17,0.9990009990009989,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004990009990010135,0.0,0.011616290686058128,0.0,86.042957,0.0,-0.0009990009990010762,-0.36593426935152973,-0.16122560460926288,0.15627883115173893,-1.3098937535788513,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0,0.0,0.0,0.5,0.5,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,OIBR,-0.0009990009990010762,0.0063045166652225815,0.007303517664223658
2020-01-06,OIBR,92.0,127.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0686987431173478,0.0,-5.551115123125783e-17,1.0686987431173478,0.06976744186046524,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06919874311734775,0.0,0.011616290686058128,0.0,86.042957,0.0,0.0686987431173478,-0.3223985094095507,-0.16267772472573722,0.1564747589961625,-1.0207447239955845,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0469804951237809,0.046980495123780885,0.046980495123780885,0.5108822212270488,0.4891177787729512,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,OIBR,0.02171824799356692,0.08299373438854774,0.061275486394980816
2020-01-07,OIBR,94.0,130.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.091931324489464,0.0,-5.551115123125783e-17,1.091931324489464,0.021739130434782483,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.092431324489464,0.0,0.011616290686058128,0.0,86.042957,0.0,0.09193132448946395,-0.32423966818557837,-0.1639884536500097,0.15642356386226422,-1.024469783060785,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0707051762940734,0.022660098522167438,0.07070517629407336,0.510422140479944,0.4895778595200561,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,OIBR,0.021226148195390593,0.10804797836513547,0.08682183016974487
2020-01-08,OIBR,92.0,133.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0686987431173478,0.0,-5.551115123125783e-17,1.0686987431173478,-0.02127659574468077,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06919874311734775,0.0,0.011616290686058128,0.0,86.042957,0.0,0.0686987431173478,-0.36856055117271325,-0.1652434992791224,0.15643554929325018,-1.2996857351934614,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0711740435108776,0.0004379050621825531,0.07117404351087764,0.499343429922087,0.500656570077913,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,OIBR,-0.0024753003935298334,0.08831535060809181,0.09079065100162165
2020-01-09,OIBR,90.0,129.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0454661617452317,0.0,-5.551115123125783e-17,1.0454661617452317,-0.021739130434782483,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0459661617452315,0.0,0.011616290686058128,0.0,86.042957,0.0,0.04546616174523166,-0.3600027340314069,-0.1665820231190772,0.15672730020865847,-1.2341226490523323,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.043417104276069,-0.025912632408299108,0.04341710427606893,0.5014828794823404,0.4985171205176598,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,OIBR,0.0020490574691627295,0.0676128561866306,0.06556379871746787
2020-01-10,OIBR,89.0,127.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0338498710591735,0.0,-5.551115123125783e-17,1.0338498710591735,-0.011111111111111183,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.03434987105917337,0.0,0.011616290686058128,0.0,86.042957,0.0,0.033849871059173475,-0.35555071672645155,-0.1678452375541202,0.15699915264463332,-1.1955827532216152,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0295386346586648,-0.01330097959917298,0.029538634658664797,0.5025958648328627,0.49740413516713716,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,OIBR,0.004311236400508678,0.05974109418754159,0.05542985778703291
2020-01-13,OIBR,88.0,127.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0222335803731153,0.0,-5.551115123125783e-17,1.0222335803731153,-0.011235955056179803,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.022733580373115243,0.0,0.011616290686058128,0.0,86.042957,0.0,0.02223358037311529,-0.36685027198038433,-0.16914514574731088,0.15719244605506488,-1.2577266350560947,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0237246811702927,-0.005647144548683869,0.023724681170292694,0.49977099935879815,0.5002290006412017,0.9894748382852758,0.015774482048085403,-0.010525161714724174,OIBR,-0.0014911007971774026,0.032758742087839465,0.03424984288501687
2020-01-14,OIBR,90.0,128.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0454661617452317,0.0,-5.551115123125783e-17,1.0454661617452317,0.02272727272727293,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0459661617452315,0.0,0.011616290686058128,0.0,86.042957,0.0,0.04546616174523166,-0.35222059358935187,-0.1705730532843019,0.1573480915237807,-1.1544311630725868,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.039384846211553,0.015297242832279734,0.039384846211552915,0.5034283652111151,0.49657163478888483,0.9920639605981126,0.002616663115277973,-0.007936039401887363,OIBR,0.006081315533678744,0.05340220114711902,0.04732088561344028
2020-01-15,OIBR,89.0,126.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011616290686058128,0.0,86.042957,0.0,1.0338498710591735,0.0,-5.551115123125783e-17,1.0338498710591735,-0.011111111111111183,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.03434987105917337,0.0,0.011616290686058128,0.0,86.042957,0.0,0.033849871059173475,-0.34764553721933833,-0.17191365588802116,0.15745122926132063,-1.1161035843020082,moderate_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,1.0255063765941486,-0.013352580295922012,0.02550637659414856,0.5045720555961961,0.49542794440380394,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,OIBR,0.008343494465024914,0.05205806348071962,0.043714569015694704
