date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,raw_target_weight_on,raw_target_weight_pn,raw_signal,signal_decision_date,signal_execution_lag,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,TAEE,5.354423522949219,5.535785675048828,1.0,0.0,0.5,0.5,1.0,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,0.999000999000999,0.0,-5.551115123125783e-17,0.9990009990009989,0.0,hold_previous_allocation,True,sell_pn_buy_on,0.5,0.49900099900099903,0.000999000999000999,0.0,0.0,0.0,0.0,0.0,0.0933807342390801,0.09032141584773146,5.354423522949219,5.535785675048828,-0.0009990009990010762,-0.033310456804256594,0.04029939097386269,0.04811676780323385,-1.5298169669071595,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2019-12-30,1,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,TAEE,-0.0009990009990010762,-0.0009990009990010762,0.0
2020-01-03,TAEE,5.44975471496582,5.472095012664795,1.0,0.0,1.0,0.0,1.0,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,1.0167874060067872,0.0,-5.551115123125783e-17,1.0167874060067872,0.017804193412794156,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.017786407005788183,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,0.016787406006787187,-0.004090942361047345,0.038961476917148526,0.047797656293515844,-0.9007223913620278,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2020-01-02,1,1.0031494659035913,0.003149465903591331,0.003149465903591331,0.5073043589252187,0.49269564107478114,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,TAEE,0.013637940103195856,0.024090923671010844,0.010452983567814988
2020-01-06,TAEE,5.476235389709473,5.493325233459473,1.0,0.0,1.0,0.0,1.0,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,1.021728035079132,0.0,-5.551115123125783e-17,1.021728035079132,0.004859058091354784,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.022727036078132878,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,0.021728035079132013,-0.003115869115212888,0.037844035094007314,0.04713546749631239,-0.8689826660237256,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2020-01-03,1,1.007539794355235,0.0043765446734191915,0.007539794355235108,0.5075480734578377,0.49245192654216224,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,TAEE,0.014188240723896905,0.036023026350331944,0.021834785626435038
2020-01-07,TAEE,5.423274993896484,5.408403396606445,1.0,0.0,1.0,0.0,1.0,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,1.0118469548661266,0.0,-5.551115123125783e-17,1.0118469548661266,-0.009670949483381985,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.012845955865127585,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,0.011846954866126636,0.0027459468604007498,0.03664575985096403,0.0462264703931938,-0.7333420159968465,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2020-01-06,1,0.9949240531676704,-0.012521332912352134,-0.005075946832329592,0.5090131244672501,0.4909868755327499,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,TAEE,0.016922901698456227,0.02796360874179815,0.011040707043341924
2020-01-08,TAEE,5.423274993896484,5.339405536651611,1.0,0.0,1.0,0.0,1.0,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,1.0118469548661266,0.0,-5.551115123125783e-17,1.0118469548661266,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.012845955865127585,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,0.011846954866126636,0.015585551336084524,0.03557205028439251,0.04541676471734598,-0.44006875154351455,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-07,1,0.9886920687660863,-0.006263779010812431,-0.011307931233913715,0.512221567168566,0.48777843283143396,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,TAEE,0.02315488610004035,0.031463562356870645,0.008308676256830294
2020-01-09,TAEE,5.354423522949219,5.34471321105957,0.5,0.5,1.0,0.0,0.5005,0.49950000000000006,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.4995004995004995,0.4985024965044945,-5.551115123125783e-17,0.9980029960049941,-0.013681870360487625,return_to_50_50,True,sell_on_buy_pn,0.4995004995004995,0.4985024965044945,0.000998002996004994,0.0,0.0,0.0,0.0,0.0,0.18657489358457563,0.0,5.354423522949219,0.0,-0.001997003995005908,0.0018151585117911484,0.0345467006511284,0.04437801398923579,-0.7375621213530764,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-08,1,0.9827420645229756,-0.006018056006595107,-0.017257935477024366,0.5087805010592487,0.4912194989407513,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,TAEE,0.015260931482018458,0.02014969044639303,0.004888758964374573
2020-01-10,TAEE,5.391496658325195,5.381868362426758,0.5,0.5,0.500493066975846,0.49950693302415405,0.500493066975846,0.49950693302415405,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.5029589576443092,0.5019679650868347,-5.551115123125783e-17,1.004926922731144,0.0069377815035287504,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0034584581438096965,0.0034654685823401633,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.004926922731143923,0.0017874263878256968,0.03350241759813849,0.04357421364167694,-0.7278385209912017,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-09,1,0.9895598870024502,0.006937550274480175,-0.010440112997549766,0.5087735701646391,0.4912264298353608,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,TAEE,0.01536703572869369,0.030818145859512036,0.015451110130818346
2020-01-13,TAEE,5.44975471496582,5.387174129486084,0.5,0.5,0.5029335853863718,0.4970664146136282,0.5029335853863718,0.4970664146136282,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.5083937030033936,0.5024628350677857,-5.551115123125783e-17,1.0108565380711791,0.005900543816579118,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.008893203502894092,0.003960338563291125,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.010856538071179145,0.011549634039848877,0.03258621076902443,0.04300966045418835,-0.4891128296997978,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-10,1,0.9954792914998503,0.005981855747337228,-0.004520708500149739,0.5112131423041998,0.48878685769580016,0.9894748382852758,0.015774482048085403,-0.010525161714724174,TAEE,0.015377246571328884,0.02138169978590332,0.0060044532145744345
2020-01-14,TAEE,5.423274993896484,5.408403396606445,0.5,0.5,0.5007326967293595,0.4992673032706405,0.5007326967293595,0.4992673032706405,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.5059234774330633,0.5044428931626825,-5.551115123125783e-17,1.010366370595746,-0.00048490310639770495,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0064229779325637925,0.0059403966581880255,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.010366370595745966,0.0027459468604007498,0.03169195692870795,0.04225379104736769,-0.6850511954266519,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-13,1,0.9949240531676704,-0.0005577598016562879,-0.005075946832329592,0.5090131244672501,0.4909868755327499,0.9920639605981126,0.002616663115277973,-0.007936039401887363,TAEE,0.015442317428075558,0.01830240999763333,0.0028600925695577706
2020-01-15,TAEE,5.481531143188477,5.445557117462158,0.5,0.5,0.5016923038808945,0.4983076961191055,0.5016923038808945,0.4983076961191055,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.5113580448604637,0.5079082283209243,-5.551115123125783e-17,1.019266273181388,0.008808589482639073,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.011857545359964089,0.009405731816429792,0.09328744679228781,0.09327020493316014,5.354423522949219,5.34471321105957,0.01926627318138796,0.006584399217286041,0.030859300916075815,0.0417757954328789,-0.5810757508565508,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-14,1,1.0037198318341973,0.008840653352909289,0.003719831834197329,0.5099723913693466,0.49002760863065353,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,TAEE,0.015546441347190632,0.037474465602934104,0.021928024255743472
