,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,-0.00034000000000000035,0.33999999999999997,0.33932067932067933,0.0006793206793206793
2020-01-03,0.0,0.0,0.0,0.0
2020-01-06,0.004769658735311255,0.04479445318849975,0.044704953781529715,8.949940697002949e-05
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,-4.494005994005956e-05,0.02997002997002997,0.029910149790269666,5.988017976029964e-05
2020-01-09,-0.0006460438060115992,0.05938383984285315,0.0592651908121981,0.00011864903065505125
2020-01-10,0.0006705672801904945,0.055528251085905256,0.05541730552929007,0.00011094555661519533
2020-01-13,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0
2020-01-16,0.005699582328738255,0.035831435938309765,0.035759844657713744,7.159128059602351e-05
2020-01-17,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0005527749985667424,0.0025580395658388344,0.002552928597675312,5.110968163514146e-06
2020-01-22,0.0019390131620462324,0.0347726658564028,0.03470319000054584,6.947585585694865e-05
2020-01-23,0.002398954765579119,0.08719904700312864,0.08702482313299251,0.00017422387013612113
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0007237735139531298,0.03434110388833384,0.03427249029415136,6.86135941824852e-05
2020-01-28,-0.0004546375014558391,0.05837507717680643,0.058258443655973643,0.00011663352083278007
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,0.00012486809523335306,0.002479023734304562,0.0024740706399303267,4.953094374234889e-06
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0008981143083841071,0.025606173659117493,0.025555012472985396,5.116118613210289e-05
2020-02-06,0.002419564471203864,0.052409523945199016,0.05230480961164218,0.0001047143335568412
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0004413141914115237,0.10405904049159548,0.10385113032078312,0.0002079101708123786
2020-02-12,0.0006273811530168094,0.05107976525552485,0.050977707782486836,0.00010205747303801168
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,-0.00066682905202467,0.025244690667253267,0.02519425172486115,5.043894239211441e-05
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,-0.0015531732969990806,0.02507858771204468,0.025028480643688938,5.010706835573362e-05
2020-02-27,-0.012977945912555286,0.05204159568312784,0.05193761647097374,0.0001039792121541016
2020-02-28,-0.0007923855801878183,0.024418770238573265,0.02436998148684784,4.87887517254211e-05
2020-03-02,-0.001158771750371251,0.05540883282885889,0.05529812587015987,0.00011070695869901879
2020-03-03,-0.0027090896107417,0.021643690411649034,0.021600446274962423,4.324413668661146e-05
2020-03-04,0.001379565561009497,0.05538489755090827,0.055274238414942424,0.0001106591359658507
2020-03-05,-0.0009214896487919565,0.07870257071693834,0.078545322823398,0.00015724789354033635
2020-03-06,-0.0032027209049274087,0.018437763579889868,0.01840092489141856,3.6838688471308435e-05
2020-03-09,-4.403039475255194e-05,0.00246048542906363,0.0024555693742603062,4.916054803323937e-06
2020-03-10,-0.01777150501799884,0.04724323822022138,0.0471488461358653,9.439208435608668e-05
2020-03-11,0.0,0.0,0.0,0.0
