date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,UNIP,15.226933479309082,14.730351448059082,1.0,0.0,0.5,0.5,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.999000999000999,0.0,-5.551115123125783e-17,0.9990009990009989,0.0,hold_previous_allocation,True,sell_pn_buy_on,0.5,0.49900099900099903,0.000999000999000999,-0.0005000000000000004,0.0,0.0,-0.000499000999001026,0.0,0.03283655246011408,0.03394352142669899,15.226933479309082,14.730351448059082,-0.0009990009990010762,0.033155709719212556,0.0441126902793422,0.017507922589140714,-0.6258298495634033,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,UNIP,-0.0009990009990010762,-0.0009990009990010762,0.0
2020-01-03,UNIP,15.031713485717772,14.105935096740724,1.0,0.0,1.0,0.0,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.986193103774577,0.0,-5.551115123125783e-17,0.986193103774577,-0.012820703121648291,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.013306896225422997,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,-0.013806896225422971,0.06356656397403082,0.04421045259640167,0.017376673582078474,1.1139135051481994,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.97239475863902,-0.02760524136097997,-0.02760524136097997,0.5076021276893884,0.49239787231061155,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,UNIP,0.013798345135557,-0.006503378561199313,-0.020301723696756313
2020-01-06,UNIP,14.962306022644045,14.457959175109863,1.0,0.0,1.0,0.0,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.9816394538198441,0.0,-5.551115123125783e-17,0.9816394538198441,-0.0046174019442076775,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.017860546180155992,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,-0.018360546180155923,0.03428903568024477,0.04428318479619548,0.01741929769719561,-0.5737400720558153,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.982064593683513,0.009944351261237827,-0.017935406316487046,0.5002833314599316,0.49971666854006835,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,UNIP,-0.00042513986366887746,-0.004065554908955993,-0.0036404150452871153
2020-01-07,UNIP,15.135831832885742,14.357380867004396,1.0,0.0,1.0,0.0,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.9930240479680664,0.0,-5.551115123125783e-17,0.9930240479680663,0.011597531154561302,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.006475952031933619,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,-0.006975952031933685,0.0528007457334958,0.04424238763114106,0.017430659022760392,0.4909945224204958,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.9843486010984591,0.0023257201508297687,-0.01565139890154088,0.5049111010605318,0.4950888989394681,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,UNIP,0.008675446869607195,0.00914070184373783,0.00046525497413063555
2020-01-08,UNIP,15.226933479309082,14.877030372619627,1.0,0.0,1.0,0.0,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.999000999000999,0.0,-5.551115123125783e-17,0.9990009990009989,0.006018938861715117,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.000499000999001026,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,-0.0009990009990010762,0.02324736149251816,0.04424337371591896,0.017431138022463998,-1.204511845201538,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.004978799218666,0.02095822363864297,0.0049787992186660635,0.4975229332088712,0.5024770667911288,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,UNIP,-0.00597780021766714,0.018617606491742933,0.024595406709410073
2020-01-09,UNIP,15.604352951049805,14.747117042541504,1.0,0.0,1.0,0.0,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,1.023762546020545,0.0,-5.551115123125783e-17,1.023762546020545,0.024786308566565607,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.024262546020544992,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.02376254602054506,0.05650230171696924,0.044211192559610875,0.017462481240307845,0.703858116622474,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.012962237598828,0.007943887359981083,0.012962237598828086,0.5058363829019756,0.4941636170980245,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,UNIP,0.010800308421716975,0.045909240461944,0.035108932040227026
2020-01-10,UNIP,15.59134006500244,14.751306533813477,1.0,0.0,1.0,0.0,1.0,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,1.0229088031327294,0.0,-5.551115123125783e-17,1.0229088031327294,-0.0008339266670130963,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.02340880313272923,0.0,0.06560749742280535,0.0,15.234539332581997,0.0,0.02290880313272936,0.05538397865218547,0.044268667601699,0.017479063449777912,0.6359214315128368,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0126771453702337,-0.0002814440835131604,0.012677145370233678,0.5055568384341851,0.4944431615658148,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,UNIP,0.010231657762495683,0.04880002626109747,0.03856836849860179
2020-01-13,UNIP,15.617366790771484,14.897982597351074,0.5,0.5,1.0,0.0,0.5005000000000001,0.49949999999999994,0.032803748711402674,0.0343190482092833,15.234539332581997,14.912880579948427,0.512308175738273,0.5112845829795551,0.0,1.0235927587178282,0.0006686378912803548,return_to_50_50,True,sell_on_buy_pn,0.512308175738273,0.5112845829795551,0.0010235927587178282,0.012045867562534784,0.0,0.0,0.012558175738272946,-0.0005112845829795975,0.06560749742280535,0.0,15.234539332581997,0.0,0.023592758717828177,0.04715774323084165,0.04433016508914642,0.017490843034807246,0.1616604834923211,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0185104754217862,0.005760305817329225,0.018510475421786188,0.5035004511874478,0.49649954881255226,0.9894748382852758,0.015774482048085403,-0.010525161714724174,UNIP,0.0050822832960419895,0.03411792043255235,0.02903563713651036
2020-01-14,UNIP,15.725818634033203,15.141040802001951,0.5,0.5,0.4981842897915344,0.5018157102084656,0.4981842897915344,0.5018157102084656,0.032803748711402674,0.0343190482092833,15.234539332581997,14.912880579948427,0.5158658027519188,0.5196261092226304,0.0,1.0354919119745492,0.011624890031096013,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.016115802751918797,0.0078302416600957,0.032803748711402674,0.0343190482092833,15.234539332581997,14.912880579948427,0.03549191197454915,0.0378948698045134,0.04435579070077728,0.017490233970751286,-0.3694016276207858,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0303219114399478,0.011596774214099437,0.03032191143994778,0.5011847878038338,0.49881521219616604,0.9920639605981126,0.002616663115277973,-0.007936039401887363,UNIP,0.005170000534601371,0.04342795137643651,0.03825795084183514
2020-01-15,UNIP,16.745290756225586,16.503023147583008,1.0,0.0,0.4923545314794234,0.5076454685205767,1.0,0.0,0.06655869813210252,0.0,16.009202536368164,0.0,1.1145447525779055,0.0,0.0,1.1145447525779055,0.07634327191664192,overweight_on,True,sell_pn_buy_on,0.5663680470008193,0.5652364425113072,0.0011316044895121266,0.05400581139128391,0.0,0.0,0.04899307362408684,0.0,0.032803748711402674,0.0343190482092833,15.234539332581997,14.912880579948427,0.11454475257790553,0.014573484670022285,0.044341115264624496,0.01749411238765987,-1.7015799335781066,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.1100283381919582,0.07736070238534976,0.11002833819195823,0.49535457740861516,0.5046454225913848,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,UNIP,0.004516414385947298,0.13275294499945167,0.12823653061350437
