,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,-0.00026500000000000026,0.265,0.2644705294705295,0.0005294705294705295
2020-01-03,6.654838625053117e-06,0.05005671155017523,0.049956698140484576,0.0001000134096906598
2020-01-06,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0
2020-01-09,-0.0002878466913886557,0.004759875611757218,0.004750365370774687,9.510240982531905e-06
2020-01-10,0.0,0.0,0.0,0.0
2020-01-13,0.000722752053752087,0.03073849054429638,0.030677074978773308,6.141556552306969e-05
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0032403486834770346,0.03398208282004916,0.03391418655067843,6.789626937072759e-05
2020-01-16,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.013665575034159258,0.08569782322599981,0.08552659880396984,0.00017122442202996966
2020-01-22,0.0016004560932713872,0.03623378066780434,0.0361613855016349,7.239516616943924e-05
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0021413714592163967,0.07037584455952701,0.07023523348148603,0.000140611078041013
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,4.3458471245569344e-05,0.001258012247204679,0.0012554987362212533,2.5135109834259325e-06
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,6.496732905096919e-05,0.00256007292101093,0.0025549578901997196,5.115030811210649e-06
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,9.970756794218938e-05,0.0013089486792997403,0.0013063333972232172,2.6152820765229577e-06
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,-0.01259650653503424,0.05372895775541637,0.053621607190470474,0.00010735056494588685
2020-02-27,-0.0012715624780699375,0.023752189711641707,0.023704732789140925,4.745692250078263e-05
2020-02-28,0.0,0.0,0.0,0.0
2020-03-02,-0.0002885170362153942,0.0012712393408563312,0.0012686994021133616,2.539938742969693e-06
2020-03-03,-0.002528270540659844,0.021857806026331524,0.021814134086218972,4.367194011255049e-05
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-09,-0.005205665025575819,0.01935029576182519,0.019311633832231136,3.866192959405633e-05
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,-0.00012870563435728733,0.00159093471251901,0.0015877560217847063,3.178690734303716e-06
2020-03-16,-0.00157768218943823,0.0011718639020163817,0.001169522515598767,2.3413864176151483e-06
2020-03-17,-0.009432815628728296,0.07059778215342515,0.07045672764362809,0.00014105450979705323
2020-03-18,-0.010708299151881607,0.08215481245382558,0.08199066697439736,0.00016414547942822296
2020-03-19,-0.0026786484189645476,0.021950618088394668,0.02190676070959668,4.385737879799135e-05
2020-03-20,-0.00520480675539593,0.018975008640457838,0.018937096535282097,3.7912105175739936e-05
2020-03-23,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0
2020-03-25,-0.024446601680132952,0.025582308047226818,0.025531194544634955,5.1113502591861775e-05
