date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,raw_target_weight_on,raw_target_weight_pn,raw_signal,signal_decision_date,signal_execution_lag,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,SAPR,4.433867931365967,4.795661926269531,1.0,0.0,0.5,0.5,1.0,0.0,0.22553671319928656,0.0,4.433867931365967,0.0,1.0,0.0,0.0,1.0,0.0,hold_previous_allocation,True,sell_pn_buy_on,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.11276835659964328,0.10426089405116637,4.433867931365967,4.795661926269531,0.0,-0.07843941859910086,0.13159788477572718,0.16945009258508759,-1.239523095978009,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2019-12-30,1,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,SAPR,0.0,0.0,0.0
2020-01-03,SAPR,4.716572284698486,4.455626487731934,1.0,0.0,1.0,0.0,1.0,0.0,0.22553671319928656,0.0,4.433867931365967,0.0,1.0637602106577462,0.0,0.0,1.0637602106577462,0.06376021065774617,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06376021065774623,0.0,0.22553671319928656,0.0,4.433867931365967,0.0,0.06376021065774617,0.05691464812023428,0.1274957080478903,0.16821446242633833,-0.4195897243886725,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-02,1,0.9964277064978628,-0.0035722935021371693,-0.0035722935021371693,0.5337869489782336,0.4662130510217663,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,SAPR,0.06733250415988334,0.07106372832196983,0.0037312241620864883
2020-01-06,SAPR,4.970282554626465,4.4626617431640625,0.5,0.5,1.0,0.0,0.5,0.5,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5604905955211031,0.5604905955211031,0.0,1.1209811910422063,0.05379123961506238,return_to_50_50,True,sell_on_buy_pn,0.5604905955211031,0.5604905955211031,0.0,0.06049059552110314,0.0,0.0,0.06049059552110315,0.0,0.22553671319928656,0.0,4.433867931365967,0.0,0.12098119104220628,0.10773129911437818,0.12482676325004556,0.1666252719219389,-0.10259826698843329,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-03,1,1.025771698711325,0.029449193375600924,0.02577169871132501,0.5464087147512906,0.45359128524870934,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,SAPR,0.09520949233088127,0.1352761823134062,0.04006668998252494
2020-01-07,SAPR,4.977530002593994,4.568190097808838,0.5,0.5,0.4945215689675091,0.5054784310324909,0.4945215689675091,0.5054784310324909,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5613078783179428,0.5737444905602723,0.0,1.135052368878215,0.012552554805068894,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06130787831794285,0.013253895039169197,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.13505236887821503,0.08581669798640323,0.12256796910105727,0.16488987958804832,-0.22288372825834651,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-06,1,1.0375914621111775,0.011522801238035285,0.037591462111177476,0.5409719516926778,0.45902804830732213,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,SAPR,0.09746090676703756,0.15116902275388655,0.05370811598684899
2020-01-08,SAPR,4.982362270355225,4.565845012664795,0.5,0.5,0.4948924844587837,0.5051075155412164,0.4948924844587837,0.5051075155412164,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5618528052120263,0.5734499582285433,0.0,1.1353027634405697,0.00022060177064964215,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06185280521202625,0.012959362707440103,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.13530276344056968,0.08730052630074137,0.12008886850711309,0.16305082558688366,-0.20109277023500902,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-07,1,1.037891888331517,0.00028954191636088034,0.03789188833151691,0.5413403954001833,0.4586596045998166,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,SAPR,0.09741087510905277,0.1549193709313137,0.05750849582226092
2020-01-09,SAPR,4.999277114868164,4.554120063781738,0.5,0.5,0.4963824866423721,0.5036175133576279,0.4963824866423721,0.5036175133576279,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5637602644298889,0.5719773564585379,0.0,1.1357376208884267,0.0003830321407296555,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06376026442988893,0.011486760937434675,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.13573762088842667,0.0932609931946713,0.11757485182485952,0.16106723608862342,-0.1509547144449049,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-08,1,1.0385768938961277,0.0006599970308198699,0.03857689389612773,0.542819956560937,0.45718004343906304,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,SAPR,0.09716072699229894,0.1578843153298256,0.06072358833752667
2020-01-10,SAPR,4.977530002593994,4.572880744934082,0.5,0.5,0.4942650313193989,0.5057349686806011,0.4942650313193989,0.5057349686806011,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5613078783179428,0.5743336151123706,0.0,1.1356414934303134,-8.463879010900399e-05,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06130787831794285,0.013843019591267429,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.1356414934303134,0.08479041832669121,0.11508738909087597,0.15897322599770147,-0.19057907753990483,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-09,1,1.038080513174134,-0.00047794315944349464,0.03808051317413397,0.540717093900197,0.459282906099803,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,SAPR,0.09756098025617943,0.1615327165586815,0.06397173630250208
2020-01-13,SAPR,5.06934928894043,4.6455769538879395,0.5,0.5,0.4948915754218169,0.5051084245781832,0.4948915754218169,0.5051084245781832,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5716621883433824,0.5834639377300523,0.0,1.155126126073435,0.01715737999697975,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.07166218834338245,0.022973342208949223,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.1551261260734349,0.08729688977334638,0.11266268840819235,0.15706035741340235,-0.1615035076488464,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-10,1,1.056014194939233,0.017275810052789886,0.056014194939232986,0.5413394924831271,0.458660507516873,0.9894748382852758,0.015774482048085403,-0.010525161714724174,SAPR,0.09911193113420191,0.16565128778815907,0.06653935665395716
2020-01-14,SAPR,4.977530002593994,4.610400676727295,0.5,0.5,0.4922225567394738,0.5077774432605262,0.4922225567394738,0.5077774432605262,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5613078783179428,0.579045952754116,0.0,1.140353831072059,-0.012788469300396454,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.06130787831794285,0.01855535723301281,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.1403538310720589,0.07661901665815996,0.11017897283037736,0.154936297030362,-0.21660486803580217,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-13,1,1.041992374807633,-0.013278060274944381,0.04199237480763296,0.5386871265939623,0.46131287340603777,0.9920639605981126,0.002616663115277973,-0.007936039401887363,SAPR,0.09836145626442594,0.14828987047394626,0.04992841420952032
2020-01-15,SAPR,5.168417453765869,4.572880744934082,0.5,0.5,0.5036729025601918,0.4963270974398082,0.5036729025601918,0.4963270974398082,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.5828339424820899,0.5743336151123706,0.0,1.1571675575944604,0.014744306604025592,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.08283394248208985,0.013843019591267429,0.11276835659964328,0.12559558124244274,4.433867931365967,4.4626617431640625,0.15716755759446044,0.12242317362097466,0.10768996026513304,0.15290707087573133,0.09635403563394006,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-14,1,1.059606577338281,0.016904348780767187,0.05960657733828101,0.5500474939917434,0.4499525060082566,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,SAPR,0.09756098025617943,0.17537575001600658,0.07781476975982715
