date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,raw_target_weight_on,raw_target_weight_pn,raw_signal,signal_decision_date,signal_execution_lag,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,TAEE,5.3544230461120605,5.535786151885986,1.0,0.0,0.5,0.5,1.0,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,1.0,0.0,0.0,1.0,0.0,hold_previous_allocation,True,sell_pn_buy_on,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09338074255508419,0.09032140806769695,5.3544230461120605,5.535786151885986,0.0,-0.03331063199627926,0.04029939114896593,0.04811676318411698,-1.5298207583826704,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2019-12-30,1,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,TAEE,0.0,0.0,0.0
2020-01-03,TAEE,5.4497551918029785,5.4720964431762695,1.0,0.0,1.0,0.0,1.0,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,1.017804373107975,0.0,0.0,1.017804373107975,0.01780437310797489,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.01780437310797478,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,0.01780437310797489,-0.004091116283364116,0.03896147591933888,0.04779765420941762,-0.9007260484808541,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2020-01-02,1,1.0031496423839044,0.003149642383904361,0.003149642383904361,0.5073043592425776,0.49269564075742245,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,TAEE,0.01465473072407053,0.02510789077219855,0.010453160048128018
2020-01-06,TAEE,5.476235389709473,5.493325233459473,1.0,0.0,1.0,0.0,1.0,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,1.0227498541950029,0.0,0.0,1.0227498541950029,0.004858970169214771,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.022749854195002795,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,0.02274985419500286,-0.003115869115212888,0.03784403282607091,0.04713546682996396,-0.8689826301931445,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2020-01-03,1,1.0075397971573712,0.0043763707706001576,0.007539797157371186,0.507548117245862,0.4924518827541379,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,TAEE,0.015210057037631675,0.03704484546620279,0.021834788428571117
2020-01-07,TAEE,5.423273086547852,5.40840482711792,1.0,0.0,1.0,0.0,1.0,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,1.0128585358016835,0.0,0.0,1.0128585358016835,-0.009671297778971355,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.012858535801683474,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,0.012858535801683502,0.0027453306656175513,0.03664575746514667,0.04622646936859188,-0.7333553105520629,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,1.0,0.0,hold_previous_allocation,2020-01-06,1,0.9949240072862614,-0.012521381196756165,-0.005075992713738597,0.509013014252385,0.490986985747615,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,TAEE,0.0179345285154221,0.028975189677355018,0.011040661161932919
2020-01-08,TAEE,5.423273086547852,5.339405059814453,1.0,0.0,1.0,0.0,1.0,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,1.0128585358016835,0.0,0.0,1.0128585358016835,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.012858535801683474,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,0.012858535801683502,0.015585288944484743,0.0355720451074754,0.045416771954649215,-0.4400743448466213,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-07,1,0.9886918511470688,-0.006263951913464516,-0.011308148852931188,0.5122215453816964,0.4877784546183036,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,TAEE,0.02416668465461469,0.03247514329242751,0.008308458637812821
2020-01-09,TAEE,5.3544230461120605,5.3447136878967285,0.5,0.5,1.0,0.0,0.5,0.5,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.5,0.5,0.0,1.0,-0.012695292923118773,return_to_50_50,True,sell_on_buy_pn,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.18676148511016838,0.0,5.3544230461120605,0.0,0.0,0.0018149802403799598,0.03454669121545499,0.04437801672322493,-0.7375658804045904,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-08,1,0.9827420660095258,-0.006017835719633102,-0.01725793399047415,0.5087805002896391,0.49121949971036105,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,TAEE,0.01725793399047415,0.02214669444139894,0.0048887604509247895
2020-01-10,TAEE,5.391496181488037,5.381866931915283,0.5,0.5,0.4999931558767626,0.5000068441232375,0.4999931558767626,0.5000068441232375,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.5034619169102539,0.5034757001205405,0.0,1.0069376170307944,0.00693761703079443,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0034619169102538517,0.003475700120540542,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.00693761703079443,0.001787603747428701,0.033502406643489684,0.043574216994667694,-0.7278341432949218,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-09,1,0.9895597162338183,0.006937374983830624,-0.010440283766181668,0.5087736582754074,0.49122634172459256,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,TAEE,0.017377900796976098,0.03282884015916254,0.015450939362186444
2020-01-13,TAEE,5.4497551918029785,5.387173652648926,0.5,0.5,0.5024336882330726,0.49756631176692745,0.5024336882330726,0.49756631176692745,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.5089021865539874,0.5039721458652079,0.0,1.0128743324191953,0.005895812499196129,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.00890218655398739,0.003972145865207821,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.012874332419195333,0.011549810050254239,0.03258619823005351,0.04300965666465267,-0.48910848891030434,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,return_to_50_50,2020-01-10,1,0.9954792963664365,0.005982034267873804,-0.004520703633563494,0.5112132300606483,0.4887867699393517,0.9894748382852758,0.015774482048085403,-0.010525161714724174,TAEE,0.017395036052758828,0.023399494133919507,0.00600445808116068
2020-01-14,TAEE,5.423273086547852,5.40840482711792,0.5,0.5,0.500232587589533,0.49976741241046696,0.500232587589533,0.49976741241046696,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.5064292679008418,0.5059583303185559,0.0,1.0123875982193975,-0.0004805474719014047,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.006429267900841737,0.0059583303185558835,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.0123875982193975,0.0027453306656175513,0.031691948143448716,0.04225379145388095,-0.6850655641027087,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-13,1,0.9949240072862614,-0.0005578107773832608,-0.005075992713738597,0.509013014252385,0.490986985747615,0.9920639605981126,0.002616663115277973,-0.007936039401887363,TAEE,0.017463590933136097,0.020323637621284862,0.002860046688148765
2020-01-15,TAEE,5.481532096862793,5.445557117462158,0.5,0.5,0.5011923959786245,0.4988076040213755,0.5011923959786245,0.4988076040213755,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.5118695375445753,0.5094339412225012,0.0,1.0213034787670765,0.008806785625742997,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.011869537544575275,0.009433941222501104,0.09338074255508419,0.09355038065598643,5.3544230461120605,5.3447136878967285,0.0213034787670765,0.006584573196819932,0.03085928872128452,0.041775801729251855,-0.5810712067667436,forced_default_rotation,Company was manually included in the final fundamental-weighted portfolio despite not passing the hard statistical universe filters. It therefore receives forced_default_rotation: a separate conservative rule that keeps the ON/PN allocation close to 50/50 and requires stronger spread deviations before trading.,0.5,0.5,hold_previous_allocation,2020-01-14,1,1.0037199241068264,0.008840792619485116,0.003719924106826422,0.5099724786275108,0.49002752137248917,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,TAEE,0.017583554660250078,0.039511671188622643,0.021928116528372565
