,strategy_portfolio_pre_tax_value,strategy_portfolio_pre_tax_return,strategy_portfolio_pre_tax_cumulative_return,benchmark_50_50_portfolio_value,benchmark_50_50_portfolio_return,benchmark_50_50_portfolio_cumulative_return,ibovespa_portfolio_value,ibovespa_portfolio_return,ibovespa_portfolio_cumulative_return,portfolio_daily_realized_pnl,portfolio_daily_gross_sale_value,portfolio_daily_gross_buy_value,portfolio_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,strategy_portfolio_value,strategy_portfolio_return,strategy_portfolio_cumulative_return,strategy_minus_50_50,strategy_minus_ibovespa,strategy_pre_tax_minus_50_50,strategy_pre_tax_minus_ibovespa
2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.00029000000000000027,0.29000000000000004,0.28942057942057947,0.0005794205794205794,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.9993770951432116,-0.0006229048567883977,-0.0006229048567883977,0.9896250607392977,-0.01037493926070232,-0.01037493926070232,0.9926964823357762,-0.007303517664223769,-0.007303517664223769,-0.0008509304312077592,0.10922829786665891,0.10901005950928297,0.00021823835737594188,0.0,0.0,0.9993770951432116,-0.0006229048567883977,-0.0006229048567883977,0.009752034403913923,0.006680612807435371,0.009752034403913923,0.006680612807435371
2020-01-06,1.0045763424786691,0.0052024879904941645,0.004576342478669115,0.994398720803109,0.004823705717643456,-0.005601279196891018,0.9857050087288002,-0.007042911636520932,-0.01429499127119982,0.0,0.0,0.0,0.0,0.0,0.0,1.0045763424786691,0.0052024879904941645,0.004576342478669115,0.010177621675560133,0.018871333749868935,0.010177621675560133,0.018871333749868935
2020-01-07,0.9955478725831776,-0.008987340746264172,-0.004452127416822438,0.989393610340703,-0.005033303400032274,-0.010606389659297055,0.9838833461243284,-0.0018480809048754265,-0.016116653875671627,0.0,0.0,0.0,0.0,0.0,0.0,0.9955478725831776,-0.008987340746264172,-0.004452127416822438,0.006154262242474617,0.01166452645884919,0.006154262242474617,0.01166452645884919
2020-01-08,0.9884815729025074,-0.007097900437811222,-0.011518427097492623,0.9833711707554859,-0.006087000686352928,-0.016628829244514143,0.9803833925092559,-0.0035572851485486945,-0.01961660749074412,-0.0007485688187186426,0.13850234826595936,0.13822562029739602,0.0002767279685633554,0.0,0.0,0.9884815729025074,-0.007097900437811222,-0.011518427097492623,0.00511040214702152,0.008098180393251497,0.00511040214702152,0.008098180393251497
2020-01-09,0.9857831930436862,-0.0027298231275043605,-0.014216806956313777,0.9781913089918605,-0.005267453345867312,-0.021808691008139536,0.9778533055586011,-0.002580711760303389,-0.02214669444139894,0.0,0.0,0.0,0.0,0.0,0.0,0.9857831930436862,-0.0027298231275043605,-0.014216806956313777,0.007591884051825759,0.007929887485085163,0.007591884051825759,0.007929887485085163
2020-01-10,0.9857991365855862,1.6173477101588674e-05,-0.014200863414413845,0.9740930803280011,-0.004189598319047638,-0.025906919671998874,0.9741087768716318,-0.0038293358172268865,-0.025891223128368224,0.0,0.0,0.0,0.0,0.0,0.0,0.985799136585586,1.6173477101588674e-05,-0.014200863414413956,0.011706056257584918,0.011690359713954268,0.011706056257585029,0.011690359713954379
2020-01-13,0.9975980574318882,0.011968889410036265,-0.00240194256811177,0.9843475995665505,0.010527247801715545,-0.01565240043344951,0.9894748382852758,0.015774482048085403,-0.010525161714724174,0.0007339274480561331,0.03187540494071523,0.03181171781795655,6.368712275867179e-05,0.0,0.0,0.9975980574318881,0.011968889410036265,-0.002401942568111881,0.013250457865337628,0.008123219146612293,0.01325045786533774,0.008123219146612404
2020-01-14,0.9957112518331557,-0.001891348509228008,-0.004288748166844325,0.9855752248239018,0.0012471460873089146,-0.014424775176098192,0.9920639605981127,0.002616663115278195,-0.007936039401887252,0.0,0.0,0.0,0.0,0.0,0.0,0.9957112518331556,-0.001891348509228008,-0.004288748166844436,0.010136027009253756,0.0036472912350428155,0.010136027009253867,0.0036472912350429265
2020-01-15,0.9980426400597072,0.002341430030301739,-0.00195735994029278,0.9827070150065924,-0.002910188634075994,-0.01729298499340759,0.9817918075784539,-0.010354325353645333,-0.018208192421546143,0.0033602042737734925,0.03523897278233034,0.0351685652443037,7.040753802663405e-05,0.0,0.0,0.998042640059707,0.002341430030301739,-0.001957359940293002,0.015335625053114588,0.01625083248125314,0.01533562505311481,0.016250832481253363
2020-01-16,1.0026885290316132,0.004655000483374083,0.002688529031613207,0.9888500224156339,0.006251107721053861,-0.011149977584366089,0.9842375582974203,0.0024911093167490073,-0.015762441702579677,0.0,0.0,0.0,0.0,0.0,0.0,1.002688529031613,0.004655000483374083,0.002688529031612985,0.013838506615979074,0.018450970734192662,0.013838506615979296,0.018450970734192884
2020-01-17,1.0191740250687171,0.01644129314317122,0.019174025068717127,1.0051590330851874,0.016492906204029545,0.005159033085187392,0.9991988057989595,0.015200850013709966,-0.0008011942010405226,0.0,0.0,0.0,0.0,0.0,0.0,1.019174025068717,0.01644129314317122,0.019174025068716904,0.014014991983529512,0.019975219269757427,0.014014991983529734,0.01997521926975765
2020-01-20,1.01945214657665,0.00027288912500900153,0.019452146576649954,1.0025150565260217,-0.002630406206518776,0.002515056526021686,1.0024373170957976,0.003241108053815722,0.002437317095797642,0.0,0.0,0.0,0.0,0.0,0.0,1.0194521465766497,0.00027288912500900153,0.01945214657664973,0.016937090050628045,0.01701482948085209,0.016937090050628267,0.01701482948085231
2020-01-21,1.015026643482746,-0.004341060155461873,0.01502664348274596,0.9910411376819329,-0.011445133685920816,-0.008958862318067085,0.9869531849577899,-0.015446484158099238,-0.013046815042210058,0.002720061794231552,0.03591264238524999,0.03584088885401074,7.175353123926073e-05,0.0,0.0,1.0150266434827457,-0.004341060155461873,0.015026643482745738,0.023985505800812823,0.028073458524955797,0.023985505800813045,0.02807345852495602
2020-01-22,1.0149078683238073,-0.00011701678936337778,0.014907868323807305,0.9922341710087764,0.001203818168067139,-0.007765828991223578,0.9984650805832693,0.011664074650077572,-0.0015349194167306734,0.0016596602452723518,0.03757396395208919,0.037498891097040056,7.507285504912924e-05,0.0,0.0,1.014907868323807,-0.00011701678936337778,0.014907868323807083,0.02267369731503066,0.016442787740537756,0.022673697315030883,0.01644278774053798
2020-01-23,1.026952647598199,0.011867854856898896,0.02695264759819893,1.00256214532685,0.01040880733584637,0.0025621453268500627,1.0080541101262512,0.00960377055688344,0.008054110126251235,0.0,0.0,0.0,0.0,0.0,0.0,1.0269526475981987,0.011867854856898896,0.02695264759819871,0.024390502271348646,0.018898537471947474,0.02439050227134887,0.018898537471947696
2020-01-24,1.0264531215960195,-0.00048641580831176867,0.026453121596019535,0.9981371691937277,-0.004413667675114308,-0.0018628308062722532,0.9983385762357369,-0.009637909109162401,-0.001661423764263148,0.0,0.0,0.0,0.0,0.0,0.0,1.0264531215960193,-0.00048641580831176867,0.026453121596019313,0.028315952402291567,0.02811454536028246,0.02831595240229179,0.028114545360282683
2020-01-27,0.999264446019264,-0.026487985670967773,-0.0007355539807359923,0.9750093465882205,-0.023170986232472823,-0.02499065341177953,0.9654980476162364,-0.032895181455700695,-0.034501952383763634,0.002212792059833104,0.0729788288254288,0.07283301697962374,0.00014581184580505255,0.0,0.0,0.9992644460192638,-0.026487985670967773,-0.0007355539807362144,0.024255099431043314,0.03376639840302742,0.024255099431043536,0.03376639840302764
2020-01-28,1.0029840176579607,0.0037223095983394128,0.002984017657960747,0.9805882647164547,0.005721912459358602,-0.01941173528354534,0.982339993084429,0.01744379029017673,-0.017660006915571014,0.0,0.0,0.0,0.0,0.0,0.0,1.0029840176579605,0.0037223095983394128,0.002984017657960525,0.022395752941505864,0.02064402457353154,0.022395752941506086,0.02064402457353176
2020-01-29,0.9971428877255052,-0.005823751754384876,-0.0028571122744948108,0.9720539778080338,-0.008703231739050632,-0.02794602219196618,0.9731136093377077,-0.009392250963692894,-0.02688639066229226,0.0,0.0,0.0,0.0,0.0,0.0,0.997142887725505,-0.005823751754384876,-0.002857112274495033,0.025088909917471147,0.024029278387797226,0.02508890991747137,0.024029278387797448
2020-01-30,0.9975506888425646,0.00040896958909231174,-0.0024493111574354076,0.9725957352021041,0.0005573326239474152,-0.027404264797895928,0.9743196174508532,0.001239329202235906,-0.02568038254914684,0.0,0.0,0.0,0.0,0.0,0.0,0.9975506888425644,0.00040896958909231174,-0.0024493111574356297,0.024954953640460298,0.02323107139171121,0.02495495364046052,0.023231071391711433
2020-01-31,0.9774392203077246,-0.020160848726569425,-0.022560779692275434,0.9599972677715571,-0.012953447125623074,-0.04000273222844286,0.9594174053114959,-0.015294993421508307,-0.040582594688504114,0.0,0.0,0.0,0.0,0.0,0.0,0.9774392203077243,-0.020160848726569425,-0.022560779692275656,0.017441952536167205,0.018021814996228458,0.017441952536167427,0.01802181499622868
2020-02-03,0.9834248680181239,0.006123805538021054,-0.0165751319818761,0.9633656048430014,0.0035086944354156824,-0.03663439515699862,0.9667377902220573,0.007630031381580693,-0.0332622097779427,0.0,0.0,0.0,0.0,0.0,0.0,0.9834248680181238,0.006123805538021054,-0.016575131981876212,0.02005926317512241,0.016687077796066485,0.02005926317512252,0.016687077796066596
2020-02-04,0.9947402329729282,0.011506079745174702,-0.00525976702707176,0.972533139534163,0.009516153208164013,-0.027466860465837017,0.9745641925227497,0.00809568259340998,-0.025435807477250272,0.0,0.0,0.0,0.0,0.0,0.0,0.9947402329729282,0.011506079745174702,-0.00525976702707176,0.022207093438765257,0.020176040450178512,0.022207093438765257,0.020176040450178512
