,strategy_portfolio_pre_tax_value,strategy_portfolio_pre_tax_return,strategy_portfolio_pre_tax_cumulative_return,benchmark_50_50_portfolio_value,benchmark_50_50_portfolio_return,benchmark_50_50_portfolio_cumulative_return,ibovespa_portfolio_value,ibovespa_portfolio_return,ibovespa_portfolio_cumulative_return,portfolio_daily_realized_pnl,portfolio_daily_gross_sale_value,portfolio_daily_gross_buy_value,portfolio_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,strategy_portfolio_value,strategy_portfolio_return,strategy_portfolio_cumulative_return,strategy_minus_50_50,strategy_minus_ibovespa,strategy_pre_tax_minus_50_50,strategy_pre_tax_minus_ibovespa
2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.00014500000000000236,0.14500000000000002,0.14471028971028974,0.0002897102897102897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.9956378546079213,-0.004362145392078687,-0.004362145392078687,0.9896524092432887,-0.010347590756711322,-0.010347590756711322,0.9926964823357762,-0.007303517664223769,-0.007303517664223769,0.0001388179320667704,0.0523089062791062,0.05220439297984725,0.00010451329925895345,0.0,0.0,0.9956378546079213,-0.004362145392078687,-0.004362145392078687,0.0059854453646326355,0.002941372272145082,0.0059854453646326355,0.002941372272145082
2020-01-06,0.9997966453204339,0.004177011443734502,-0.00020335467956611453,0.9944222719938705,0.004819735400057201,-0.005577728006129545,0.9857050087288002,-0.007042911636520932,-0.01429499127119982,0.0,0.0,0.0,0.0,0.0,0.0,0.9997966453204339,0.004177011443734502,-0.00020335467956611453,0.005374373326563431,0.014091636591633705,0.005374373326563431,0.014091636591633705
2020-01-07,0.9938746297744707,-0.005923220060480516,-0.006125370225529281,0.9894165426324619,-0.0050338065652650865,-0.010583457367538074,0.9838833461243284,-0.0018480809048754265,-0.016116653875671627,0.0,0.0,0.0,0.0,0.0,0.0,0.9938746297744707,-0.005923220060480516,-0.006125370225529281,0.004458087142008793,0.009991283650142346,0.004458087142008793,0.009991283650142346
2020-01-08,0.9863967704307219,-0.007523946300395656,-0.013603229569278064,0.9833906159575485,-0.006090383994268644,-0.01660938404245149,0.9803833925092559,-0.0035572851485486945,-0.01961660749074412,0.0,0.0,0.0,0.0,0.0,0.0,0.9863967704307219,-0.007523946300395656,-0.013603229569278064,0.003006154473173428,0.0060133779214660565,0.003006154473173428,0.0060133779214660565
2020-01-09,0.9826722906072057,-0.0037758434893190307,-0.017327709392794266,0.9781982914123439,-0.005280022466096712,-0.021801708587656066,0.9778533055586011,-0.002580711760303389,-0.02214669444139894,0.0,0.0,0.0,0.0,0.0,0.0,0.9826722906072057,-0.0037758434893190307,-0.017327709392794266,0.0044739991948618,0.004818985048604674,0.0044739991948618,0.004818985048604674
2020-01-10,0.9801335566997827,-0.002583500045426401,-0.01986644330021725,0.9740998215217096,-0.004189815016663823,-0.025900178478290403,0.9741087768716318,-0.0038293358172268865,-0.025891223128368224,0.0,0.0,0.0,0.0,0.0,0.0,0.9801335566997827,-0.002583500045426401,-0.01986644330021725,0.006033735178073152,0.006024779828150972,0.006033735178073152,0.006024779828150972
2020-01-13,0.9911383185309828,0.011227818653872346,-0.008861681469017224,0.9843442462014408,0.010516811987222985,-0.015655753798559213,0.9894748382852758,0.015774482048085403,-0.010525161714724174,0.0,0.0,0.0,0.0,0.0,0.0,0.9911383185309828,0.011227818653872346,-0.008861681469017224,0.006794072329541989,0.0016634802457069497,0.006794072329541989,0.0016634802457069497
2020-01-14,0.9899506884515571,-0.0011982485766325324,-0.010049311548442907,0.9855757450305782,0.0012510855159562073,-0.01442425496942179,0.9920639605981127,0.002616663115278195,-0.007936039401887252,0.0,0.0,0.0,0.0,0.0,0.0,0.9899506884515571,-0.0011982485766325324,-0.010049311548442907,0.004374943420978883,-0.002113272146555656,0.004374943420978883,-0.002113272146555656
2020-01-15,0.9887817479075018,-0.0011808068398676541,-0.01121825209249816,0.9827089547725735,-0.00290874676295505,-0.017291045227426527,0.9817918075784539,-0.010354325353645333,-0.018208192421546143,0.0,0.0,0.0,0.0,0.0,0.0,0.9887817479075018,-0.0011808068398676541,-0.01121825209249816,0.006072793134928367,0.006989940329047983,0.006072793134928367,0.006989940329047983
2020-01-16,0.994165791919553,0.005445128840054991,-0.00583420808044699,0.9888452730495247,0.006244288552729627,-0.011154726950475258,0.9842375582974205,0.0024911093167492293,-0.015762441702579455,0.0,0.0,0.0,0.0,0.0,0.0,0.994165791919553,0.005445128840054991,-0.00583420808044699,0.005320518870028268,0.009928233622132465,0.005320518870028268,0.009928233622132465
2020-01-17,1.0111097704823337,0.01704341338285742,0.011109770482333747,1.005156928052008,0.016495659580977096,0.00515692805200807,0.9991988057989594,0.015200850013709521,-0.0008011942010406337,0.0,0.0,0.0,0.0,0.0,0.0,1.0111097704823337,0.01704341338285742,0.011109770482333747,0.005952842430325678,0.011910964683374381,0.005952842430325678,0.011910964683374381
2020-01-20,1.0095613853029088,-0.0015313719881139276,0.009561385302908842,1.002507544506221,-0.002635790961438733,0.0025075445062210378,1.0024373170957976,0.0032411080538159442,0.002437317095797642,0.0,0.0,0.0,0.0,0.0,0.0,1.0095613853029088,-0.0015313719881139276,0.009561385302908842,0.007053840796687805,0.0071240682071112005,0.007053840796687805,0.0071240682071112005
2020-01-21,1.0018731324497296,-0.007615438709427713,0.001873132449729642,0.991034833962666,-0.011444014168697225,-0.008965166037333994,0.9869531849577899,-0.015446484158099238,-0.013046815042210058,0.0006394140248355218,0.002956680081109848,0.0029507726284003382,5.9074527095101875e-06,0.0,0.0,1.0018731324497296,-0.007615438709427713,0.001873132449729642,0.010838298487063636,0.0149199474919397,0.010838298487063636,0.0149199474919397
2020-01-22,1.0013527041875347,-0.000519455253703005,0.0013527041875347479,0.9922272913500921,0.0012032446757275217,-0.007772708649907867,0.9984650805832693,0.011664074650077572,-0.0015349194167306734,0.0,0.0,0.0,0.0,0.0,0.0,1.0013527041875347,-0.000519455253703005,0.0013527041875347479,0.009125412837442615,0.0028876236042654213,0.009125412837442615,0.0028876236042654213
2020-01-23,1.0124365419996006,0.01106886491214798,0.012436541999600648,1.0025467659009613,0.010400313154889984,0.0025467659009612564,1.0080541101262515,0.009603770556883662,0.008054110126251457,0.0,0.0,0.0,0.0,0.0,0.0,1.0124365419996006,0.01106886491214798,0.012436541999600648,0.009889776098639391,0.004382431873349191,0.009889776098639391,0.004382431873349191
2020-01-24,1.0096037872927244,-0.0027979577873409323,0.009603787292724375,0.998125371378153,-0.004410162870392198,-0.0018746286218469521,0.9983385762357369,-0.009637909109162623,-0.001661423764263148,0.0,0.0,0.0,0.0,0.0,0.0,1.0096037872927244,-0.0027979577873409323,0.009603787292724375,0.011478415914571327,0.011265211056987523,0.011478415914571327,0.011265211056987523
2020-01-27,0.9843511652140031,-0.025012408230397742,-0.01564883478599688,0.9750230420410864,-0.02314571896431039,-0.024976957958913637,0.9654980476162364,-0.032895181455700695,-0.034501952383763634,0.0032084869719083606,0.027512992165810685,0.027458021152492382,5.497101331830307e-05,0.0,0.0,0.9843511652140031,-0.025012408230397742,-0.01564883478599688,0.009328123172916758,0.018853117597766755,0.009328123172916758,0.018853117597766755
2020-01-28,0.9888151210308832,0.004534922063011537,-0.011184878969116796,0.9805887816895131,0.005708316017615012,-0.019411218310486866,0.982339993084429,0.01744379029017673,-0.017660006915571014,0.0,0.0,0.0,0.0,0.0,0.0,0.9888151210308832,0.004534922063011537,-0.011184878969116796,0.00822633934137007,0.006475127946454218,0.00822633934137007,0.006475127946454218
2020-01-29,0.981582002798548,-0.0073149348937892045,-0.018417997201451985,0.9720665343439504,-0.00869094925895364,-0.027933465656049594,0.9731136093377077,-0.009392250963692894,-0.02688639066229226,0.0,0.0,0.0,0.0,0.0,0.0,0.981582002798548,-0.0073149348937892045,-0.018417997201451985,0.009515468454597609,0.008468393460840273,0.009515468454597609,0.008468393460840273
2020-01-30,0.983089530994445,0.0015358148291215734,-0.01691046900555504,0.9726021920643697,0.0005510504697920915,-0.02739780793563029,0.9743196174508533,0.001239329202236128,-0.02568038254914673,4.345859680246374e-05,0.0012580122480103123,0.001255498737025277,2.5135109850355895e-06,0.0,0.0,0.9830895309944448,0.0015358148291215734,-0.01691046900555515,0.01048733893007514,0.008769913543591579,0.010487338930075252,0.00876991354359169
2020-01-31,0.9667124913662639,-0.01665874685046731,-0.033287508633736085,0.9600102835758013,-0.012946617426228268,-0.039989716424198685,0.959417405311496,-0.015294993421508307,-0.040582594688504,0.00013787793464087824,0.001502520079314069,0.0014995180411935584,3.0020381205076277e-06,0.0,0.0,0.9667124913662638,-0.01665874685046731,-0.033287508633736196,0.006702207790462489,0.007295086054767808,0.0067022077904626,0.007295086054767919
2020-02-03,0.971387498393904,0.004835984917328284,-0.028612501606095964,0.9633679402018307,0.003497521519793434,-0.0366320597981693,0.9667377902220574,0.007630031381580693,-0.033262209777942586,0.0,0.0,0.0,0.0,0.0,0.0,0.9713874983939039,0.004835984917328284,-0.028612501606096075,0.008019558192073228,0.004649708171846512,0.00801955819207334,0.004649708171846623
2020-02-04,0.9818401206877998,0.01076050732707401,-0.0181598793122002,0.9725308457834534,0.009511325008078497,-0.02746915421654661,0.9745641925227497,0.00809568259340998,-0.025435807477250272,0.0,0.0,0.0,0.0,0.0,0.0,0.9818401206877996,0.01076050732707401,-0.018159879312200422,0.009309274904346188,0.00727592816504985,0.00930927490434641,0.007275928165050072
2020-02-05,0.9832262296257072,0.0014117460762719247,-0.01677377037429284,0.9775972714114419,0.0052095269265286515,-0.022402728588558074,0.9785364290352778,0.004075910589579124,-0.02146357096472218,0.00010472936795966226,0.00333255512781105,0.003325896676007231,6.658451803818282e-06,0.0,0.0,0.9832262296257069,0.0014117460762719247,-0.016773770374293062,0.005628958214265012,0.004689800590429116,0.005628958214265234,0.004689800590429338
