,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,-0.00029000000000000027,0.29,0.28942057942057947,0.0005794205794205794
2020-01-03,-0.0008509155616148334,0.10922831275113631,0.10901007436402116,0.00021823838711515747
2020-01-06,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0028830045252460604,0.06670553755605492,0.06657225975874012,0.00013327779731479503
2020-01-09,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0
2020-01-13,0.0007339373635798552,0.031875416704244874,0.03181172955798265,6.368714626222752e-05
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0033602018834935454,0.03523898215318736,0.03516857459643774,7.04075567496251e-05
2020-01-16,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.01375510349186477,0.0869787557951574,0.08680497206729496,0.00017378372786245236
2020-01-22,0.0016596528899502805,0.03757397597595278,0.03749890309687994,7.507287907283273e-05
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0022128017016368063,0.07297885610521632,0.07283304420490619,0.00014581190031012252
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,6.496726196972918e-05,0.0025600702776382,0.002554955252108454,5.115025529746654e-06
2020-02-04,0.0004199342725004579,0.0254328671396401,0.02538205222028017,5.081491935992027e-05
2020-02-05,0.004205640778679751,0.07780593169431893,0.07765047528733729,0.00015545640698165622
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,-0.0007228674220643438,0.05026297181949194,0.05016254630137107,0.00010042551812086301
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.002021862668169222,0.027155372464469914,0.02710111597602942,5.4256488440499334e-05
2020-02-17,0.0001439543517057695,0.001355061972445998,0.0013523545559176342,2.7074165283636324e-06
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,-0.014768858408106473,0.07740426294684584,0.07724960907482416,0.00015465387202167
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,-0.0020782785823266563,0.023053850391700714,0.023007788752556463,4.606163914425718e-05
2020-03-04,0.0,0.0,0.0,0.0
