pair,passed_hard_filters,rejection_reasons,observations,missing_ratio,clean_observations,correlation,spread_volatility,cointegration_pvalue,adf_pvalue,avg_volume_on,avg_volume_pn,min_average_volume,correlation_score,cointegration_score,adf_score,spread_opportunity_score,observation_score,quality_score,selected_for_analysis
ITUB,True,,2468,0.0,2468,0.8691443597981686,0.06343452700980319,0.35702391844179976,0.1652068802416179,449049.278363047,22240114.19286872,449049.278363047,0.8691443597981686,0.15,0.4,0.45,1.0,0.5457433079394506,True
ISAE,False,Correlation below minimum threshold,2468,0.0,2468,0.24211198989163282,0.19737254297144016,0.6917070158408622,0.35843095294832084,1333.546191247974,1267897.8051053484,1333.546191247974,0.24211198989163282,0.15,0.15,1.0,1.0,,False
ALUP,False,Correlation below minimum threshold,799,0.0,799,0.030981347898917336,0.1420786204121363,0.04034498626060784,0.0026623611237206455,18829.454317897373,12595.932415519399,12595.932415519399,0.030981347898917336,0.85,1.0,1.0,0.32374392220421394,,False
PETR,True,,2468,0.0,2468,0.9375380908089508,0.09120620893612344,0.5388686169702062,0.3196105551175095,10485188.828606158,41315910.10656402,10485188.828606158,0.9375380908089508,0.15,0.15,0.75,1.0,0.5612614272426852,True
SAPR,False,Correlation below minimum threshold,2468,0.0,2468,0.04831909370474516,0.6807860486094978,0.4739056780444846,0.19781348592440767,34866.84116693679,1608092.744732577,34866.84116693679,0.04831909370474516,0.15,0.4,0.65,1.0,,False
BBDC,True,,2468,0.0,2468,0.8391135088730516,0.11996539389969199,0.17147558177819716,0.05258426122587977,3112591.8537277146,19127833.776742302,3112591.8537277146,0.8391135088730516,0.4,0.65,0.75,1.0,0.6942340526619154,True
GGBR,True,,2468,0.0,2468,0.8345492773945389,0.08404055548925617,0.07662071728881013,0.023563954664536577,278914.2670178282,10976840.985008104,278914.2670178282,0.8345492773945389,0.65,0.85,0.75,1.0,0.7953647832183616,True
UNIP,False,Correlation below minimum threshold,2468,0.0,2468,0.316829493195398,0.19494106237519385,0.0001318293158562462,0.0346154738649598,8477.388168557536,248300.4635332253,8477.388168557536,0.316829493195398,1.0,0.85,1.0,1.0,,False
TAEE,False,Correlation below minimum threshold,653,0.0,653,0.09141490298419054,0.06909631625634836,0.0007105940045730786,9.025712824969134e-05,4313.323124042879,8006.584992343032,4313.323124042879,0.09141490298419054,1.0,1.0,0.45,0.2645867098865478,,False
RAPT,False,Correlation below minimum threshold,2468,0.0,2468,0.3651407779780844,0.0980560083564117,0.0003667233705677344,0.0019390726470117975,7200.676256077796,1528640.923419773,7200.676256077796,0.3651407779780844,1.0,1.0,0.75,1.0,,False
BTG,False,Correlation below minimum threshold,859,0.0,859,0.12487691569418777,0.18416209603503914,0.018032621563568565,0.08942638671204334,1536.4062863795111,1790.919674039581,1536.4062863795111,0.12487691569418777,0.85,0.65,1.0,0.3480551053484603,,False
