pair,passed_hard_filters,rejection_reasons,observations,missing_ratio,clean_observations,correlation,spread_volatility,cointegration_pvalue,adf_pvalue,avg_volume_on,avg_volume_pn,min_average_volume,correlation_score,cointegration_score,adf_score,spread_opportunity_score,observation_score,quality_score,selected_for_analysis
PETR,True,,2468,0.0,2468,0.9375382088427657,0.0912062101385684,0.5388678564388277,0.3196098371921695,10485188.828606158,41315910.10656402,10485188.828606158,0.9375382088427657,0.15,0.15,0.75,1.0,0.5612614626528297,True
BBDC,True,,2468,0.0,2468,0.8391135689687681,0.1199654194249925,0.17147635691168756,0.052584616134321784,3112591.8537277146,19127833.776742302,3112591.8537277146,0.8391135689687681,0.4,0.65,0.75,1.0,0.6942340706906304,True
ITUB,True,,2468,0.0,2468,0.8691442917269394,0.06343452148230178,0.3570236377326787,0.16520664014045666,449049.278363047,22240114.19286872,449049.278363047,0.8691442917269394,0.15,0.4,0.45,1.0,0.5457432875180818,True
CMIG,True,,2468,0.0,2468,0.8307102707828258,0.11600456206313563,0.35292655034881915,0.241699965068768,883864.1235818476,12170076.040923825,883864.1235818476,0.8307102707828258,0.15,0.15,0.75,1.0,0.5292130812348478,True
USIM,False,Correlation below minimum threshold,2468,0.0,2468,0.5588291286284193,0.3947256571743705,0.53660211850046,0.4354249230642494,352006.69732576987,11525784.251215558,352006.69732576987,0.5588291286284193,0.15,0.15,0.65,1.0,,False
ITSA,False,Correlation below minimum threshold,2468,0.0,2468,0.575959951352191,0.14089537724278792,0.508715176109616,0.3298727444145822,652460.9740680713,25085491.64667747,652460.9740680713,0.575959951352191,0.15,0.15,1.0,1.0,,False
GGBR,True,,2468,0.0,2468,0.8345492560840801,0.0840405560341915,0.07662071423316773,0.02356395802236206,278914.2670178282,10976840.985008104,278914.2670178282,0.8345492560840801,0.65,0.85,0.75,1.0,0.795364776825224,True
BRAP,True,,2468,0.0,2468,0.7707521543673315,0.07544987470437173,0.06224127380432028,0.039012340567126685,55398.87560777958,3890299.7082658024,55398.87560777958,0.7707521543673315,0.65,0.85,0.45,1.0,0.7312256463101995,True
GOAU,True,,2468,0.0,2468,0.8204477286196007,0.09042018623840709,0.07801438094621455,0.11267668650686885,101212.91207455429,9811910.256482983,101212.91207455429,0.8204477286196007,0.65,0.4,0.75,1.0,0.7011343185858802,True
TASA,True,,2468,0.0,2468,0.6061533288197708,0.20192561003845005,0.0005416164289015372,0.023771420548586046,55499.58346839546,295576.8326580227,55499.58346839546,0.6061533288197708,1.0,0.85,0.65,1.0,0.7993459986459313,True
OIBR,True,,2468,0.0,2468,0.7903660670798451,0.1198848784478077,0.0005962608225526636,9.274678553718908e-05,104706.66045380876,32149.28241491086,32149.28241491086,0.7903660670798451,1.0,1.0,0.75,1.0,0.8996098201239536,True
POMO,False,Correlation below minimum threshold,2468,0.0,2468,0.5977922512643126,0.0889313941605407,0.03317660242209664,0.04724177800908091,195016.37682333874,4168922.2670178283,195016.37682333874,0.5977922512643126,0.85,0.85,0.75,1.0,,False
SANB,False,Correlation below minimum threshold,2468,0.0,2468,0.324632370510964,0.16134161748403741,0.3388420711770931,0.1546385983350843,13860.632495948135,22704.171799027554,13860.632495948135,0.324632370510964,0.15,0.4,1.0,1.0,,False
KLBN,False,Correlation below minimum threshold,2468,0.0,2468,0.08550390615951797,0.34741211778532116,0.38693650518164907,0.18738485718720693,19624.553889789302,5981920.0032414915,19624.553889789302,0.08550390615951797,0.15,0.4,0.65,1.0,,False
SAPR,False,Correlation below minimum threshold,2468,0.0,2468,0.04831915605619879,0.680786105140291,0.4739057186596839,0.19781350962996763,34866.84116693679,1608092.744732577,34866.84116693679,0.04831915605619879,0.15,0.4,0.65,1.0,,False
UNIP,False,Correlation below minimum threshold,2468,0.0,2468,0.3168297303290194,0.19494105227031866,0.00013182907057927208,0.03461543231915806,8477.388168557536,248300.4635332253,8477.388168557536,0.3168297303290194,1.0,0.85,1.0,1.0,,False
BRKM,False,Correlation below minimum threshold,2468,0.0,2468,0.561449704075671,0.13932089769534514,0.012688917690905663,0.18634164555481159,8808.344003241491,1733753.23541329,8808.344003241491,0.561449704075671,0.85,0.4,1.0,1.0,,False
TAEE,False,Correlation below minimum threshold,653,0.0,653,0.09141535214204086,0.0690963171564699,0.0007106109090323061,9.025971876806895e-05,4313.323124042879,8006.584992343032,4313.323124042879,0.09141535214204086,1.0,1.0,0.45,0.2645867098865478,,False
ALUP,False,Correlation below minimum threshold,799,0.0,799,0.030981463382891514,0.1420786446782856,0.04034495517874785,0.0026623606538726022,18829.454317897373,12595.932415519399,12595.932415519399,0.030981463382891514,0.85,1.0,1.0,0.32374392220421394,,False
RAPT,False,Correlation below minimum threshold,2468,0.0,2468,0.3651407720566739,0.09805601404011537,0.00036672386159003077,0.0019390747612427336,7200.676256077796,1528640.923419773,7200.676256077796,0.3651407720566739,1.0,1.0,0.75,1.0,,False
BRSR,False,Correlation below minimum threshold,2468,0.0,2468,0.12803750241461023,0.2002547847136109,0.126541832466062,0.03720586013838897,2533.1884116693677,979866.6632901134,2533.1884116693677,0.12803750241461023,0.4,0.85,0.65,1.0,,False
