pair,passed_hard_filters,rejection_reasons,observations,missing_ratio,clean_observations,correlation,spread_volatility,cointegration_pvalue,adf_pvalue,avg_volume_on,avg_volume_pn,min_average_volume,correlation_score,cointegration_score,adf_score,spread_opportunity_score,observation_score,quality_score,selected_for_analysis
PETR,True,,2642,0.0,2642,0.9459406401387407,0.09188032599320071,0.49917789665093193,0.30950137188710436,11390333.356926572,43744830.334216505,11390333.356926572,0.9459406401387407,0.15,0.15,0.75,1.0,0.5637821920416222,True
BBDC,True,,2642,0.0,2642,0.8689412293130603,0.11157876939605149,0.1597933227704777,0.04864342016869319,3360749.54996215,21145430.583270248,3360749.54996215,0.8689412293130603,0.4,0.85,0.75,1.0,0.7431823687939182,True
ITUB,True,,2642,0.0,2642,0.8808935235749068,0.0659215224334474,0.45622609298782574,0.2946175013296581,499359.44171082514,23722265.50757002,499359.44171082514,0.8808935235749068,0.15,0.15,0.45,1.0,0.499268057072472,True
CMIG,True,,2642,0.0,2642,0.8479016947111043,0.11515136896465758,0.4206979144173296,0.24913440939271225,1068734.927706283,12903899.140802423,1068734.927706283,0.8479016947111043,0.15,0.15,0.75,1.0,0.5343705084133313,True
USIM,True,,2642,0.0,2642,0.6018214854764824,0.3886360744246652,0.5007995924329128,0.42549070475332373,343083.65972747916,12232014.319454959,343083.65972747916,0.6018214854764824,0.15,0.15,0.65,1.0,0.44554644564294477,True
ITSA,False,Correlation below minimum threshold,2642,0.0,2642,0.5973957155148784,0.13693096375403016,0.5019640795864678,0.24350984899428574,632683.6226343679,26105167.255109765,632683.6226343679,0.5973957155148784,0.15,0.15,1.0,1.0,,False
GGBR,True,,2642,0.0,2642,0.848678133441264,0.08372922845629552,0.04626561365631964,0.014110353239093142,270721.67638152913,11666434.755109765,270721.67638152913,0.848678133441264,0.85,0.85,0.75,1.0,0.8496034400323792,True
BRAP,True,,2642,0.0,2642,0.7926893853268634,0.07382385883015086,0.04932800238707004,0.027411500581090254,57919.96101438304,3982227.3096139287,57919.96101438304,0.7926893853268634,0.85,0.85,0.45,1.0,0.787806815598059,True
GOAU,True,,2642,0.0,2642,0.8373235539871735,0.08855138432704705,0.05193579414177946,0.07929843126453451,104623.8391370174,10579713.1332324,104623.8391370174,0.8373235539871735,0.65,0.65,0.75,1.0,0.756197066196152,True
TASA,True,,2642,0.0,2642,0.6213827891294916,0.19569427797963881,0.0013470744362154257,0.0158429964037287,62359.20968962907,374273.54428463284,62359.20968962907,0.6213827891294916,1.0,0.85,1.0,1.0,0.8564148367388476,True
OIBR,True,,2642,0.0,2642,0.7809182079319749,0.1327668376576326,0.0022214929214050354,0.00040338453404119973,234569.79182437548,34432.38682816048,34432.38682816048,0.7809182079319749,1.0,1.0,1.0,1.0,0.9342754623795925,True
POMO,True,,2642,0.0,2642,0.6557170190775534,0.08875141478441155,0.02534377326643609,0.01116112183660502,209270.12641937926,4794900.545041635,209270.12641937926,0.6557170190775534,0.85,0.85,0.75,1.0,0.791715105723266,True
SANB,False,Correlation below minimum threshold,2642,0.0,2642,0.36027536403253607,0.1656244807609052,0.4896389988947755,0.26365432143922773,21831.741862225586,30949.790310370932,21831.741862225586,0.36027536403253607,0.15,0.15,1.0,1.0,,False
KLBN,False,Correlation below minimum threshold,2642,0.0,2642,0.14199776147441368,0.33978814677231906,0.3740604488850454,0.17225613651324534,47762.75813777441,5741853.117713853,47762.75813777441,0.14199776147441368,0.15,0.4,0.65,1.0,,False
SAPR,False,Correlation below minimum threshold,2642,0.0,2642,0.07753519858604183,0.6585280678785667,0.42033438312181015,0.16299596699567004,48235.26267978804,1693975.7358062074,48235.26267978804,0.07753519858604183,0.15,0.4,0.65,1.0,,False
UNIP,False,Correlation below minimum threshold,2642,0.0,2642,0.3413691829310655,0.19099847929032715,0.00036908910414662634,0.012599063826144606,9385.132475397426,253014.10295230887,9385.132475397426,0.3413691829310655,1.0,0.85,1.0,1.0,,False
BRKM,True,,2642,0.0,2642,0.6148754187363317,0.147902998787836,0.003475876164113674,0.08997797130939883,9683.532551097653,1889159.154049962,9683.532551097653,0.6148754187363317,1.0,0.65,1.0,1.0,0.8144626256208995,True
TAEE,False,Correlation below minimum threshold,1431,0.0,1431,0.31254711819992725,0.05833350181469856,0.09935883943009144,0.38409527864248144,54162.054507337525,108932.63452131377,54162.054507337525,0.31254711819992725,0.65,0.15,0.45,0.5416351249053747,,False
ALUP,False,Correlation below minimum threshold,1528,0.0,1528,0.14546419878690145,0.17360945750266207,0.029596040557300463,0.012728165199072295,23442.29057591623,19873.34162303665,19873.34162303665,0.14546419878690145,0.85,0.85,1.0,0.5783497350492052,,False
RAPT,False,Correlation below minimum threshold,2642,0.0,2642,0.4561656627519964,0.0971143869050503,0.00020172230202824485,0.001254161291175523,7772.920514761544,1702416.905374716,7772.920514761544,0.4561656627519964,1.0,1.0,0.75,1.0,,False
BRSR,False,Correlation below minimum threshold,2642,0.0,2642,0.15029151951871983,0.1957761891461346,0.11126806383198301,0.033009155808001796,4073.546177138531,1067907.9958364875,4073.546177138531,0.15029151951871983,0.4,0.85,1.0,1.0,,False
