"Ticker","Nome","Negócios","Última (R$)","Variação"
"PETR4","Petrobras","39.634.300","44,48","-1,05%"
"B3SA3","B3","31.892.100","16,66","-2,12%"
"BEEF3","Minerva","29.040.700","3,78","-6,20%"
"ABEV3","Ambev","24.010.300","16,10","-1,83%"
"USIM5","Usiminas","22.520.300","10,35","+5,61%"
"ITUB4","Itaú Unibanco","21.539.700","39,43","-1,72%"
"ITSA4","Itaúsa","21.393.200","12,87","-0,92%"
"CSAN3","Cosan","20.808.700","4,29","-2,50%"
"BBDC4","Banco Bradesco","20.095.600","17,62","-1,56%"
"PLPL3","Plano&Plano","18.819.900","9,33","-9,24%"
"LREN3","Lojas Renner","17.968.500","15,07","+1,48%"
"COGN3","Cogna","17.098.800","2,45","-2,39%"
"ONCO3","Oncoclínicas","16.452.200","1,45","+5,84%"
"BBAS3","Banco do Brasil","14.910.500","20,94","+0,58%"
"RAIL3","Rumo","14.249.900","14,21","-3,14%"
"CSNA3","Siderúrgica Nacional","13.506.800","6,73","+6,15%"
"CPLE3","Copel","13.486.000","14,73","-1,14%"
"MGLU3","Magazine Luiza","13.376.800","6,63","-2,07%"
"PETR3","Petrobras","12.674.000","50,15","-0,30%"
"ASAI3","Assaí","11.880.400","8,44","-0,47%"
"GOAU4","Metalúrgica Gerdau","11.632.700","10,42","+1,36%"
"VALE3","Vale","11.443.900","83,10","+0,57%"
"SBSP3","Sabesp","11.035.800","28,46","-0,56%"
"VAMO3","Grupo Vamos","10.899.300","3,25","-3,56%"
"EQTL3","Equatorial Energia","10.685.700","37,67","-1,23%"
"MOTV3","Motiva","10.684.600","14,50","-3,33%"
"CMIG4","Cemig","10.395.700","11,22","-1,23%"
"CVCB3","CVC","10.297.700","1,77","-0,56%"
"BRAV3","3R Petroleum","10.197.500","19,78","-1,84%"
"HAPV3","Hapvida","10.072.600","12,05","-2,35%"
"VBBR3","Vibra Energia","9.734.000","32,75","-1,98%"
"RAIZ4","Raízen","9.643.900","0,39","+0,00%"
"CBAV3","CBA","9.587.600","10,60","+0,00%"
"CEAB3","C&A","9.341.800","11,19","+0,18%"
"RADL3","RaiaDrogasil","9.174.200","18,19","-2,47%"
"LIGT3","Light","9.041.600","2,79","+10,71%"
"UGPA3","Ultrapar","8.927.700","28,70","-1,54%"
"BPAC11","Banco BTG Pactual","8.872.700","53,93","-0,81%"
"MRVE3","MRV","8.672.900","6,03","-3,21%"
"TOTS3","Totvs","8.096.700","31,49","-2,42%"
"AXIA3","Axia Energia","6.763.900","54,00","-1,24%"
"CYRE3","Cyrela","6.619.000","21,25","-3,93%"
"ENEV3","Eneva","6.440.300","24,96","-2,19%"
"DIRR3","Direcional","6.219.500","12,82","-2,29%"
"PRIO3","PetroRio","6.178.300","68,40","+0,59%"
"RDOR3","Rede D'Or","6.164.600","34,07","-1,50%"
"RENT3","Localiza","5.977.900","43,35","-1,57%"
"MBRF3","Marfrig","5.695.800","16,60","-4,05%"
"ECOR3","EcoRodovias","5.634.400","7,56","-3,82%"
"VIVT3","Vivo","5.578.200","33,75","-1,34%"
"EMBJ3","Embraer","5.402.500","72,33","+2,15%"
"BHIA3","Casas Bahia","5.322.400","1,41","-3,42%"
"GGBR4","Gerdau","5.256.700","24,01","+2,17%"
"KLBN4","Klabin","4.988.100","3,30","-0,60%"
"RCSL4","Recrusul","4.860.800","0,52","+6,12%"
"WEGE3","WEG","4.827.600","42,73","+0,61%"
"CMIN3","CSN Mineração","4.745.800","4,48","+1,13%"
"PGMN3","Pague Menos","4.740.600","4,38","-4,99%"
"NATU3","NATURA","4.733.600","10,10","-0,98%"
"POMO4","Marcopolo","4.699.900","5,93","-0,84%"
"GMAT3","Grupo Mateus","4.582.900","4,39","-0,90%"
"ALOS3","Allos","4.561.900","28,12","-2,09%"
